VehicleID,Type,SpeedBG,SpeedGR,AvgSpeed,Acceleration
7,Motorcycle,0.0,0.0,0.0,0.0
1,Car,0.0,0.0,0.0,0.0
9,Truck,0.0,0.0,0.0,0.0
8,Motorcycle,0.0,0.0,0.0,0.0
2,Car,0.0,1.71,0.86,3.05
15,Motorcycle,0.0,0.17,0.09,0.28
33,Car,0.0,5.07,2.54,5.8
40,Car,0.0,0.0,0.0,0.0
44,Car,0.0,0.0,0.0,0.0
48,Car,0.0,0.0,0.0,0.0
54,Car,0.0,0.0,0.0,0.0
34,Motorcycle,6.28,9.18,7.73,0.68
64,Car,0.0,0.0,0.0,0.0
66,Car,0.0,0.0,0.0,0.0
68,Car,8.43,10.87,9.65,0.73
95,Car,0.0,0.0,0.0,0.0
100,Car,0.0,0.0,0.0,0.0
103,Car,0.0,0.0,0.0,0.0
109,Car,0.0,0.0,0.0,0.0
126,Car,0.0,0.0,0.0,0.0
127,Car,0.0,0.0,0.0,0.0
125,Motorcycle,12.2,10.31,11.26,-0.65
154,Motorcycle,0.0,0.0,0.0,0.0
164,Motorcycle,0.0,9.36,4.68,10.6
173,Motorcycle,0.0,0.0,0.0,0.0
175,Motorcycle,0.0,0.0,0.0,0.0
176,Motorcycle,0.0,0.0,0.0,0.0
185,Motorcycle,0.0,0.0,0.0,0.0
186,Motorcycle,0.0,0.0,0.0,0.0
192,Motorcycle,0.0,0.0,0.0,0.0
197,Truck,0.0,0.0,0.0,0.0
201,Car,0.0,0.07,0.04,0.03
207,Motorcycle,30.3,30.86,30.58,0.58
216,Motorcycle,0.0,0.0,0.0,0.0
226,Car,0.0,0.0,0.0,0.0
220,Motorcycle,11.68,17.27,14.47,2.43
234,Motorcycle,0.0,0.0,0.0,0.0
232,Car,0.0,0.02,0.01,0.0
249,Car,0.0,0.0,0.0,0.0
252,Motorcycle,0.0,0.0,0.0,0.0
256,Motorcycle,0.0,0.0,0.0,0.0
261,Car,0.0,0.0,0.0,0.0
267,Motorcycle,0.0,0.0,0.0,0.0
269,Motorcycle,0.0,0.0,0.0,0.0
276,Motorcycle,0.0,0.0,0.0,0.0
278,Motorcycle,0.0,0.32,0.16,2.2
287,Motorcycle,0.0,0.07,0.03,0.1
292,Car,0.0,0.0,0.0,0.0
297,Car,0.0,0.0,0.0,0.0
315,Motorcycle,0.0,0.0,0.0,0.0
316,Car,0.0,0.02,0.01,0.01
323,Car,0.0,0.0,0.0,0.0
324,Car,0.0,0.0,0.0,0.0
326,Car,0.0,0.0,0.0,0.0
327,Car,0.0,0.0,0.0,0.0
331,Car,0.0,0.0,0.0,0.0
330,Car,0.0,0.19,0.1,0.55
332,Car,0.0,0.0,0.0,0.0
333,Car,0.0,0.0,0.0,0.0
336,Car,0.0,0.32,0.16,2.12
357,Car,0.0,0.06,0.03,0.04
366,Car,0.0,0.0,0.0,0.0
381,Car,0.0,0.0,0.0,0.0
391,Car,0.0,0.0,0.0,0.0
392,Car,0.0,0.0,0.0,0.0
422,Motorcycle,0.0,0.0,0.0,0.0
419,Car,0.0,0.0,0.0,0.0
417,Car,0.0,7.7,3.85,6.42
441,Car,0.0,0.0,0.0,0.0
432,Truck,8.03,12.82,10.42,1.44
466,Motorcycle,0.0,0.0,0.0,0.0
472,Car,0.0,0.0,0.0,0.0
480,Motorcycle,0.0,0.0,0.0,0.0
481,Motorcycle,10.86,13.91,12.38,1.15
504,Car,0.0,0.0,0.0,0.0
507,Car,12.4,11.15,11.77,-0.45
538,Bicycle,0.0,0.0,0.0,0.0
541,Bicycle,0.0,0.0,0.0,0.0
542,Motorcycle,0.0,20.93,10.47,127.13
552,Motorcycle,0.0,0.0,0.0,0.0
555,Car,0.0,0.0,0.0,0.0
558,Car,16.07,18.72,17.4,1.44
574,Motorcycle,0.0,0.0,0.0,0.0
564,Car,0.0,0.06,0.03,0.03
578,Car,0.0,0.0,0.0,0.0
581,Car,0.0,0.0,0.0,0.0
584,Car,0.0,0.0,0.0,0.0
587,Car,0.0,0.0,0.0,0.0
594,Car,0.0,0.22,0.11,0.47
597,Car,0.0,0.0,0.0,0.0
603,Motorcycle,0.0,0.0,0.0,0.0
605,Car,0.0,0.0,0.0,0.0
